Timestamp,"Q1: Assuming Banza tasted approximately the same as regular pasta, what is the maximum you would be willing to pay for an 8 oz box of Banza in US Dollars?",Q2: How interested are you in a chickpea based pasta as an alternative to regular pasta?,Q4: In general how physically fit are you?,Q3: How many times per month do you eat pasta?,Q5: How old are you?,Q6: What is your gender?,Q7: What is your Worker ID?,
10/21/2019 15:45:41,7.5,5,Out of shape,1-3,25-44,Male,32155F2,
10/21/2019 15:52:01,3.25,6,Very fit,4-7,25-44,Female,A226PPE8EN1W8M,
10/21/2019 15:52:03,4,1,About average,More than 7,0-24,Male,A25D5ZVH7W0FCY,\
10/21/2019 15:52:10,3,7,About average,More than 7,25-44,Female,AFO9MCOXXSYY7,
10/21/2019 15:52:18,1.25,6,About average,4-7,25-44,Male,A1U5BE8XJRXKW3,
10/21/2019 15:52:18,2,6,Very fit,4-7,45-64,Male,A12OZ7P7Z41SJI,
10/21/2019 15:52:29,1.5,5,About average,More than 7,25-44,Female,A75PG6WJRWZIL,
10/21/2019 15:52:29,3,5,About average,4-7,45-64,Male,A33MAJJ3MCBS7Y,
10/21/2019 15:52:48,5,7,About average,1-3,25-44,Female,A2RHE12CJSKCRE,
10/21/2019 15:52:55,8,1,Very fit,1-3,0-24,Female,AYZX9T7RBX3ZP,
10/21/2019 15:53:03,5,7,Out of shape,More than 7,25-44,Male,A2B227N1NQYS56,
10/21/2019 15:53:20,3,5,Very fit,4-7,45-64,Male,A2R05XFXQLZEC0,
10/21/2019 15:53:52,3.5,5,About average,1-3,0-24,Male,A2S75O867RJG0I,
10/21/2019 15:54:22,2,6,About average,More than 7,25-44,Male,A3P57IUDHUKNCE,
10/21/2019 15:54:34,30,6,About average,1-3,0-24,Female,A9LXSGXZM4IJE,
10/21/2019 15:55:19,25,5,About average,1-3,25-44,Female,A9LXSGXZM4IJE,
10/21/2019 15:56:11,100,7,About average,More than 7,25-44,Male,ADCYOXSQB2T8L,
10/21/2019 15:56:28,1,4,Out of shape,1-3,45-64,Female,A49A0FF6ZXYDU,
10/21/2019 15:56:30,5,5,About average,4-7,25-44,Male,A2AKGKD22DWZHI,
10/21/2019 15:56:44,3.99,5,Out of shape,1-3,25-44,Male,A2WVCXVSE0YGML,
10/21/2019 15:57:00,2.5,7,About average,4-7,25-44,Male,A24LB89P1BPKKF,
10/21/2019 15:57:08,80,7,About average,More than 7,25-44,Male,A171SF2UF7YUN4,
10/21/2019 15:57:11,400,7,Out of shape,More than 7,25-44,Male,A2AKGKD22DWZHI,
10/21/2019 15:57:22,2,4,Out of shape,1-3,25-44,Male,AL2J5M8WQIKMI,
10/21/2019 15:57:24,10,6,Very fit,1-3,25-44,Male,A2UHK8HUXXMSVM,
10/21/2019 15:57:58,20,6,Very fit,1-3,25-44,Male,A2PDCGN3PDAK67,
10/21/2019 15:59:24,7,6,Very fit,1-3,25-44,Male,A2PDCGN3PDAK67,
10/21/2019 15:59:28,70,6,About average,4-7,25-44,Female,AELXPZZIRBIMK,
10/21/2019 16:01:26,400,7,About average,1-3,25-44,Male,A2BV0CQQ93LTBP,
10/21/2019 16:02:09,450,6,About average,4-7,25-44,Male,A2BV0CQQ93LTBP,
10/21/2019 16:02:36,5,7,About average,4-7,25-44,Male,A2LMQ4497NMK3S,
10/21/2019 16:03:30,80,5,Very fit,1-3,25-44,Male,A8WMN9UUL7WUT,
10/21/2019 16:03:53,3,7,About average,1-3,45-64,Male,A3F51C49T9A34D,
10/21/2019 16:04:50,3,6,About average,4-7,25-44,Female,AA8PZKO9XGCKO,
10/21/2019 16:07:01,3,5,About average,1-3,25-44,Male,A2WZ8ZEB00LYF7,
10/21/2019 16:10:16,10,6,Very fit,1-3,25-44,Female,A1HV4PF18I8560,
10/21/2019 16:10:38,10,6,About average,4-7,25-44,Male,A1BF1W2XN5BWFQ,
10/21/2019 16:12:33,3,7,Very fit,More than 7,25-44,Male,A2VQ1WGHLLLNJ1,
10/21/2019 16:12:51,10,7,Very fit,More than 7,25-44,Male,A1B6H2F271FLJR,
10/21/2019 16:12:52,2,7,Out of shape,1-3,25-44,Female,A1B14CS9DW7008,
10/21/2019 16:15:43,10,6,About average,4-7,25-44,Female,ASDQ03XW2DRRB,
10/21/2019 16:16:02,200,5,About average,1-3,45-64,Female,A123BZ4JF2TCIP,
10/21/2019 16:16:12,10,6,About average,4-7,25-44,Male,A16FVMBSNMXG9F,
10/21/2019 16:16:28,50,4,About average,1-3,25-44,Male,A1K1YOUOJ2P57H,
10/21/2019 16:17:01,4,4,Very fit,More than 7,45-64,Male,A3AQMV4SFX0B7J,
10/21/2019 16:17:50,4,4,Very fit,More than 7,45-64,Male,A3AQMV4SFX0B7J,
10/21/2019 16:18:48,4,7,Very fit,More than 7,45-64,Male,A3AQMV4SFX0B7J,
10/21/2019 16:21:48,44,1,Very fit,More than 7,0-24,Male,44,
10/21/2019 16:21:52,11,6,Out of shape,4-7,45-64,Male,A1OZN075MPLC9V,
10/21/2019 16:21:55,44,1,Very fit,More than 7,0-24,Male,44,
10/21/2019 16:23:42,11,6,Out of shape,4-7,45-64,Male,A1OZN075MPLC9V,
10/21/2019 16:23:47,20000,5,Very fit,1-3,25-44,Male,AF3K80U0YQJMZ,
10/21/2019 16:25:29,12,7,Very fit,1-3,25-44,Male,A3NP087UYDKAP1,
10/21/2019 16:26:19,6,6,Out of shape,4-7,25-44,Female,A230GPTWWF3SE7,
10/21/2019 16:26:20,2,7,Very fit,4-7,25-44,Male,A4J4GGMKJ68L0,
10/21/2019 16:27:12,2,2,Out of shape,More than 7,25-44,Male,A3CH1Z6J9R38G9,
10/21/2019 16:28:51,1,6,About average,4-7,25-44,Male,APTTMHLQ0C8DO,
10/21/2019 16:29:17,2,5,About average,1-3,25-44,Female,A3SBGZVE1PL6BL,
10/21/2019 16:33:14,50,6,Very fit,1-3,25-44,Female,A25OSUXL5HQ85C,
10/21/2019 16:36:39,50,6,Very fit,1-3,25-44,Female,A2DXYZSG2E7HT0,
10/21/2019 16:47:28,3,6,Very fit,1-3,25-44,Female,AJ33BFVNV3H2H,
10/21/2019 17:15:50,10,6,About average,1-3,25-44,Female,AIJJ528V7X5F,
10/21/2019 17:41:26,50,6,About average,1-3,25-44,Male,A2P7LKVCMHI1C5,
10/21/2019 18:18:31,150,6,Very fit,1-3,25-44,Male,A1ND9FU7OO5NQA,
10/21/2019 18:27:51,50,4,Very fit,1-3,25-44,Female,A2UC4H3EHIMWGC,
