Date,LastOpen,LastHigh,LastLow,Close,Adj Close,Volume
736659,9.8,11.26,9.62,11,11,5863900
736662,11.5,11.8,10.65,11,11,2771000
736663,11.05,11.5,10.91,10.91,10.91,2509600
736664,11.5,11.5,10.791,10.97,10.97,1498200
736665,10.75,11.08,10.55,10.98,10.98,893300
736666,11,11.049,10.75,10.94,10.94,684700
736669,10.95,11.03,10.85,11.1,11.1,2648400
736670,11,11.69,10.96,11.5,11.5,2198200
736671,11.45,11.59,11.25,11.48,11.48,1497800
736672,11.58,11.59,11.03,11.62,11.62,2075200
736673,11.53,11.76,11.35,11.4,11.4,803800
736676,11.6,11.69,11.32,11.33,11.33,562000
736677,11.41,11.5,11.33,11.32,11.32,635100
736678,11.35,11.4,11.16,11.35,11.35,582400
736679,11.44,11.5,11.29,11.35,11.35,433000
736680,11.4,11.49,11.28,11.19,11.19,625700
736683,11.25,11.31,11.06,11.19,11.19,867800
736684,11.29,11.46,11.051,11.29,11.29,1223300
736685,11.25,11.52,11.21,10.9,10.9,1530200
736686,11.19,11.29,10.82,11,11,343100
736687,11.06,11.19,10.85,10.61,10.61,495000
736690,11,11.1,10.61,10.92,10.92,1090900
736691,10.7,11.08,10.1,10.58,10.58,581000
736692,10.84,11.04,10.41,10.26,10.26,558700
736693,10.52,10.636,10.21,10.08,10.08,844000
736694,10.19,10.459,10,9.99,9.99,954500
736697,10.18,10.28,9.86,10,10,877800
736698,10.01,10.14,9.86,10.27,10.27,733800
736699,10.05,10.49,9.95,10.65,10.65,1043500
736700,10.41,10.73,10.28,11,11,1653000
736701,10.73,11.679,10.51,11.46,11.46,3152500
736704,11.06,12.19,11.06,12.07,12.07,1946800
736705,11.55,12.2,11.5,12.16,12.16,1529300
736706,12.07,12.42,11.52,14.11,14.11,3113400
736707,12.24,14.35,12.16,13.55,13.55,4410200
736708,13.83,14.87,13.03,12.84,12.84,2469000
736711,13.5,13.5,12.8,12.75,12.75,3480100
736712,12.94,13.18,12.67,13.14,13.14,2364300
736713,13,13.26,12.61,12.44,12.44,6222900
736714,13.07,13.38,12.3,13.85,13.85,16603700
736715,14.35,15.49,13.45,14.24,14.24,3624500
736719,13.86,14.44,13.85,15.03,15.03,4145300
736720,14.3,15.189,14.22,16.67,16.67,6639700
736721,15.2,16.884001,15.19,16.23,16.23,10142000
736721,17.129999,17.709999,15,16.91,16.91,4287600
736724,16.51,17.200001,15.87,16.43,16.43,5657600
736725,17.4,18.155001,16.25,16.709999,16.709999,4193100
736726,16.48,16.74,15.6,16.57,16.57,2725700
736727,16.940001,16.959999,16.141001,16.219999,16.219999,1983600
736728,16.559999,16.790001,16.049999,18.950001,18.950001,10538300
736731,16.1,19.35,15.85,18.42,18.42,11994900
736732,19.01,19.35,17.360001,18.66,18.66,7313900
736733,18.620001,19.1,17.6,20.07,20.07,10175900
736734,18.780001,20.24,18.5,20.5,20.5,19542000
736735,20.690001,22.700001,19.6,19.65,19.65,14056800
736738,20.575001,21.35,18.82,21.280001,21.280001,10162500
736739,19.35,21.66,18.950001,19.18,19.18,10723700
736740,20.799999,21.25,19.08,18.540001,18.540001,8227700
736741,20.040001,20.290001,18.5,16.440001,16.440001,13195500
736742,18.5,18.540001,16,16.65,16.65,8722300
736745,16.52,16.879999,15.38,15.36,15.36,8813300
736746,15.67,16.190001,14.8,15.85,15.85,7155400
736747,15.95,16.530001,15.51,13.9,13.9,9576000
736748,16.209999,16.299999,13.89,14.5,14.5,7180500
736749,13.5,14.9,13.31,13.99,13.99,6025800
736752,14.9,14.9,13.82,13.36,13.36,7243900
736753,13.24,13.64,12.97,13.8,13.8,3656400
736755,13.54,14.09,13.12,12.9,12.9,6617300
736756,14,14.1,12.88,13.3,13.3,6019300
736759,12.51,13.37,12.5,13.85,13.85,9256500
736760,13.66,14.08,13.285,13.26,13.26,6777500
736761,13.47,13.97,13.13,12.78,12.78,7441200
736762,12.96,13.53,12.76,14.26,14.26,11804400
736763,13.2,14.4,12.95,13.8,13.8,9513200
736766,14.5,14.69,13.5,13.8,13.8,8538200
736767,13.72,14.25,13.28,13.69,13.69,6857100
736768,13.42,14.15,13.1,14.43,14.43,10267600
736769,13.95,14.99,13.9,13.92,13.92,10799300
736770,14.43,15.08,13.8,14.41,14.41,6371200
736773,13.96,14.71,13.82,14.18,14.18,4917200
736774,14.41,14.7,13.636,13.92,13.92,6209200
736775,14.4,14.77,13.65,13.36,13.36,9249400
736776,13.77,13.95,13.13,12.77,12.77,6985700
736777,12.8,13.15,12.66,12.13,12.13,6568300
736780,13.1,13.1,12,11.59,11.59,6687400
736781,11.3,12,11.05,11.71,11.71,3235500
736781,11.5,12.25,11.35,11.33,11.33,3789400
736782,11.66,11.73,11.16,11.51,11.51,6487900
736783,11,11.52,10.7,11.06,11.06,2901600
736786,11.51,11.6,11,11.27,11.27,3413000
736787,11.12,11.74,11.113,11.4,11.4,2804300
736788,11.38,11.67,11.3,11.39,11.39,1809400
736789,11.49,11.679,11.24,11.25,11.25,1839500
736790,11.4,11.579,11.22,11.14,11.14,2683600
736793,11.25,11.37,11.02,10.81,10.81,2273700
736794,11.19,11.27,10.7,10.66,10.66,5840400
736795,10.57,10.69,10.26,10.265,10.265,10742700
736796,9.9,10.3,9.09,10.56,10.56,5202100
736797,10.51,10.94,10.5,10.7,10.7,2922700
736800,10.55,10.87,9.94,11.3,11.3,5316300
736801,11.25,11.44,10.5,11.85,11.85,5490500
736802,11.55,12.43,11.5,11.01,11.01,4486300
736803,11.75,11.82,10.96,10.53,10.53,4609900
736804,11.21,11.35,10.433,10.91,10.91,3993900
736807,10.58,10.99,10.41,11.53,11.53,9487100
736808,11.45,11.77,10.96,13.08,13.08,19444300
736809,12.85,13.75,12.64,13.76,13.76,9428200
736810,13,14.23,12.18,13.14,13.14,8767700
736811,13.4,13.7,12.25,12.83,12.83,3801300
736814,12.7,13.4,12.7,12.5,12.5,3758800
736815,12.75,12.86,12.04,11.39,11.39,5320200
736816,12.25,12.31,11.35,11.4,11.4,2416400
736817,11.59,11.66,11.11,11.71,11.71,2973200
736820,11.26,11.88,11,11.31,11.31,2528300
736821,11.73,11.94,11.31,11.84,11.84,3510300
736822,11.11,11.99,11.11,13.03,13.03,9417300
736823,12,13.68,11.89,13.35,13.35,6425300
736824,13.46,14.12,13.161,13.52,13.52,3904800
736827,13.29,13.66,12.91,13.23,13.23,3328900
736828,13.29,13.5,12.775,13.76,13.76,3956200
736829,13.4,14.07,13.13,13.22,13.22,2756300
736830,13.69,14,13.2,13.44,13.44,2206200
736831,13.49,13.69,12.97,12.43,12.43,5074600
736834,13.45,13.67,12.36,12,12,5842200
736835,11.7,12.231,11.28,12.55,12.55,3393300
736836,12,12.659,11.7,12.87,12.87,4916700
736837,12.49,13.42,12.45,13.02,13.02,2278900
736838,12.87,13.1,12.73,13.48,13.48,4170800
736841,12.9,13.69,12.89,13.95,13.95,3226400
736842,13.7,14.085,13.57,13.31,13.31,4114300
736843,13.4,13.7,12.84,14.37,14.37,18033500
736844,15.15,15.5,14.03,13.55,13.55,6889500
736845,14.14,14.44,12.885,13.35,13.35,4572100
736848,13.37,13.88,12.9,13.63,13.63,3539400
736849,12.72,13.74,12.65,13.17,13.17,2463100
736850,13.31,13.535,13,12.42,12.42,3842200
736851,13.26,13.26,12.1,12.69,12.69,3187200
736852,12.03,12.9,12.02,13.71,13.71,4143800
736855,13.37,13.85,13.28,13.95,13.95,3159600
736856,13.28,14.18,13.26,13.46,13.46,4059800
736857,14,14.29,13.258,13.25,13.25,2130200
736858,13.67,13.72,12.91,12.61,12.61,3147800
736859,12.91,13.1,12.49,12.49,12.49,1924100
736862,12.94,13.07,12.37,13.05,13.05,3448800
736863,13,13.07,12.75,12.97,12.97,1836300
736864,12.67,13.17,12.57,11.99,11.99,3620900
736865,12.89,12.94,11.87,12.57,12.57,2778000
736866,12.24,12.63,12.21,13.17,13.17,2576700
736869,12.25,13.26,12.15,12.47,12.47,2044300
736870,13.45,13.55,12.258,13.1,13.1,2481200
736871,12.58,13.4,12.31,13.5,13.5,8966500
736871,13.63,14.5,13.28,14.19,14.19,12344900
736872,13.85,15.16,13.03,14.43,14.43,5443900
736875,14.96,15.18,14.16,14.36,14.36,1709300
736876,14.4,14.78,14.25,14.91,14.91,4477600
736877,14.36,15.48,14.35,15.15,15.15,2010600
736878,15.39,15.44,14.81,14.49,14.49,2149400
736879,15.06,15.08,14.35,13.4,13.4,2689400
736882,14.06,14.06,13.32,12.9,12.9,3235700
736883,13.51,13.71,12.78,13.77,13.77,2395300
736884,13.33,13.93,13.1,13.56,13.56,1710900
736885,13.87,14.14,13.54,14.47,14.47,3435800
736886,13.86,14.79,13.792,14.5,14.5,3597400
736889,14.2,14.94,13.96,13.025,13.025,5016800
736890,14.4,14.42,13.02,13.6,13.6,5870700
736891,13.05,13.9,12.85,15.14,15.14,19460700
736893,13.79,16.129999,13.75,14.98,14.98,2797700
736896,14.53,15.06,14.2,14.94,14.94,2888400
736897,15.15,15.36,14.64,14.97,14.97,3099600
736898,14.7,15.19,14.5,16.139999,16.139999,5337900
736899,15.2,16.17,15.03,14.93,14.93,6587000
736900,15.93,15.95,14.64,15.61,15.61,5782600
736903,15.15,15.74,14.9,15.42,15.42,5354700
736904,16.290001,16.74,15.32,14.33,14.33,4901300
736906,15.52,15.7,14.11,14.68,14.68,4840400
736907,14.03,14.73,13.9,14.69,14.69,3614300
736910,14.66,15.4,14.52,14.71,14.71,3151300
736911,14.59,15.089,14.59,15.05,15.05,2029900
736912,15.02,15.33,14.81,15.29,15.29,3441400
736913,15.3,15.64,15.17,14.95,14.95,2628500
736914,15.44,15.57,14.91,15.22,15.22,4102300
736917,14.8,15.43,14.3,14.28,14.28,3110000
736918,14.93,14.941,14.22,14.72,14.72,3046800
736919,14.48,14.8,14.3,14.55,14.55,3241400
736920,14.8,15.17,14.5,14.63,14.63,7514500
736921,15.18,15.23,14.05,13.3,13.3,13876800
736924,15.18,15.5,13.16,13.71,13.71,4584300
736926,13.04,13.83,12.66,13.85,13.85,3562200
736927,13.78,13.96,13.27,14.08,14.08,2181400
736928,13.41,14.2,13.33,14.37,14.37,2762100
736931,14.04,14.42,13.81,14.59,14.59,2914100
736937,14.57,15,14.4,14.28,14.28,1902100
736938,14,14.63,13.98,12.95,12.95,5039100
736939,14.19,14.2,12.85,13.7,13.7,2971900
736942,13.45,13.89,13.4,14.27,14.27,2358000
736943,13.94,14.37,13.74,14.78,14.78,4795200
736944,14.515,15.1,14.4,15.75,15.75,7953100
736945,14.04,16.370001,14.01,16.26,16.26,5974600
736946,15.4,16.6,15.3,15.36,15.36,4050200
736949,16.02,16.09,15.29,15.06,15.06,2387300
736950,15.2,15.37,14.71,15.51,15.51,3143300
736951,15.33,15.8,15.23,16.030001,16.030001,4317900
736952,15.77,16.15,15.56,16.530001,16.530001,3893900
736953,15.9,16.82,15.75,16.709999,16.709999,3635100
736957,16.860001,17.09,16.6,15.93,15.93,4492900
736958,16.16,16.190001,15.75,15.95,15.95,3083100
736959,16.190001,16.370001,15.84,16.889999,16.889999,4376000
736960,16.09,17.18,16,17.440001,17.440001,3764300
736963,17.219999,17.5,16.969999,17.98,17.98,4097100
