Date,LastOpen,LastHigh,LastLow,Close,Adj Close,Volume
24221,11.05,11.76,10.1,16.23,16.23,77090000
24222,10.84,17.709999,9.86,13.99,13.99,182252100
24223,16.51,22.700001,13.31,11.71,11.71,155015800
24224,13.24,15.08,11.05,12.83,12.83,127535800
24225,11.66,14.23,9.09,13.48,13.48,78178700
24226,12.75,14.12,11,13.5,13.5,96185700
24227,13.7,15.5,11.87,15.61,15.61,102041600
24228,13.85,16.17,12.78,14.59,14.59,80857700
24229,16.290001,16.74,12.66,18.41,18.41,86486700
24230,14,18.459999,12.85,18.98,18.98,94224400
24231,18.299999,21.5,16.43,18.950001,18.950001,92058400
24232,19.110001,19.32,17.049999,17.799999,17.799999,120687900
24233,19.24,19.299999,16.709999,13.5,13.5,94518600
24234,17.9,18.309999,13.3,16.27,16.27,66437000
24235,13.51,16.280001,13.23,15.15,15.15,46323400
24236,16.549999,16.83,14.9,14.05,14.05,73671400
24237,15.25,15.49,13.36,14.12,14.12,58732000
24238,13.81,15.48,13.7,15.79,15.79,42683400
24239,14.14,15.91,13.23,17.280001,17.280001,60612700
24240,15.98,17.299999,15.18,18.620001,18.620001,48375700
24241,17.200001,19.17,16.35,21.549999,21.549999,133380400
24242,19.469999,24.469999,19.299999,25.68,25.68,140422900
24243,21.549999,29.280001,21.51,23.42,23.42,132662100
24244,26.48,28.27,19.25,27.389999,27.389999,105667700
24245,23.110001,30.5,23.110001,32.43,32.43,136186500
24246,26.58,36.470001,25,46.32,46.32,126790500
24247,32.439999,47.919998,32.32,43.580002,43.580002,139348200
24248,46.77,51.25,38.540001,47.25,47.25,108158300
24249,44.785,49.98,40.119999,41.599998,41.599998,87823800
24250,48.380001,54,40.400002,44.669998,44.669998,83533900
24251,42.349998,49.57,41.099998,62.860001,62.860001,130891800
24252,45.150002,65.489998,42.700001,85.720001,85.720001,116452400
24253,63.5,95.709999,58.560001,113.889999,113.889999,136725400
24254,90.540001,144.460007,90.449997,125.970001,125.970001,136481300
24255,120.980003,157.660004,114.980003,107.059998,107.059998,186146100
24256,132.949997,145.914993,90,110.860001,110.860001,79232900
24257,113.089996,122.730003,98.379997,107.18,107.18,94607700
24258,110.129997,110.25,84.400002,121.839996,121.839996,80215900
24259,111.040001,129.240005,103.510002,85.580002,85.580002,121520300
24260,122.57,124.389999,79.07,80.230003,80.230003,133658200
24261,85.690002,92.5,61.630001,66.169998,66.169998,96150900
24262,82.516998,93.470001,63.91,73.300003,73.300003,70537600
24263,66.690002,84.18,60.470001,66.010002,66.010002,98841000
24264,74.050003,89.800003,63.700001,46.400002,46.400002,142821700
24265,66.5,67.398003,41.763,35.290001,35.290001,135708100
24266,46.009998,46.349998,28.32,31.610001,31.610001,82388300
24267,34.945,39.099998,28.01,25.58,25.58,373338700
24268,31.93,35,14.93,24.34,24.34,257067000
24269,29.360001,33.779999,19.530001,22.35,22.35,164394000
24270,22.530001,24.98,17.48,25.6,25.6,181599100
24271,23.07,30.35,22.110001,24.440001,24.440001,88835700
24272,25.83,28.469999,21.552,24.959999,24.959999,97385500
24273,23.43,28.860001,22.26,15.32,15.32,126262400
24274,24.34,24.98,14.9,8.92,8.92,178965600
24275,15.43,17.139999,8.23,17.360001,17.360001,273260200
24276,9.78,17.74,8.83,23.690001,23.690001,304495700
24277,16.66,26.305,16.370001,25,25,175595400
24278,25.48,29.459999,24.469999,22.65,22.65,73624300
24278,25.790001,26.530001,21.23,22.65,22.65,3064230
