FirstDate,LastOpen1,LastOpen2,LastOpen3,LastHigh1,LastHigh2,LastHigh3,LastLow1,LastLow2,LastLow3,Close,LastVolume1,LastVolume2,LastVolume3
24221,11.05,10.84,16.51,11.76,17.709999,22.700001,10.1,9.86,13.31,11.71,25968700,77090000,182252100
24222,10.84,16.51,13.24,17.709999,22.700001,15.08,9.86,13.31,11.05,12.83,77090000,182252100,155015800
24223,16.51,13.24,11.66,22.700001,15.08,14.23,13.31,11.05,9.09,13.48,182252100,155015800,127535800
24224,13.24,11.66,12.75,15.08,14.23,14.12,11.05,9.09,11,13.5,155015800,127535800,78178700
24225,11.66,12.75,13.7,14.23,14.12,15.5,9.09,11,11.87,15.61,127535800,78178700,96185700
24226,12.75,13.7,13.85,14.12,15.5,16.17,11,11.87,12.78,14.59,78178700,96185700,102041600
24227,13.7,13.85,16.290001,15.5,16.17,16.74,11.87,12.78,12.66,18.41,96185700,102041600,80857700
24228,13.85,16.290001,14,16.17,16.74,18.459999,12.78,12.66,12.85,18.98,102041600,80857700,86486700
24229,16.290001,14,18.299999,16.74,18.459999,21.5,12.66,12.85,16.43,18.950001,80857700,86486700,94224400
24230,14,18.299999,19.110001,18.459999,21.5,19.32,12.85,16.43,17.049999,17.799999,86486700,94224400,92058400
24231,18.299999,19.110001,19.24,21.5,19.32,19.299999,16.43,17.049999,16.709999,13.5,94224400,92058400,120687900
24232,19.110001,19.24,17.9,19.32,19.299999,18.309999,17.049999,16.709999,13.3,16.27,92058400,120687900,94518600
24233,19.24,17.9,13.51,19.299999,18.309999,16.280001,16.709999,13.3,13.23,15.15,120687900,94518600,66437000
24234,17.9,13.51,16.549999,18.309999,16.280001,16.83,13.3,13.23,14.9,14.05,94518600,66437000,46323400
24235,13.51,16.549999,15.25,16.280001,16.83,15.49,13.23,14.9,13.36,14.12,66437000,46323400,73671400
24236,16.549999,15.25,13.81,16.83,15.49,15.48,14.9,13.36,13.7,15.79,46323400,73671400,58732000
24237,15.25,13.81,14.14,15.49,15.48,15.91,13.36,13.7,13.23,17.280001,73671400,58732000,42683400
24238,13.81,14.14,15.98,15.48,15.91,17.299999,13.7,13.23,15.18,18.620001,58732000,42683400,60612700
24239,14.14,15.98,17.200001,15.91,17.299999,19.17,13.23,15.18,16.35,21.549999,42683400,60612700,48375700
